mmsi,timestamp,lat,lon,sog,cog
200000001,2026-03-01 00:00:00+00:00,12.95914,44.050022,9.93,255.4
200000002,2026-03-01 00:00:00+00:00,12.863695,45.816052,14.0,256.5
200000003,2026-03-01 00:00:00+00:00,12.997662,44.748602,12.31,83.5
200000004,2026-03-01 00:00:00+00:00,12.478975,45.976047,10.04,278.6
200000005,2026-03-01 00:00:00+00:00,12.471727,45.922938,14.25,88.5
200000006,2026-03-01 00:00:00+00:00,13.080432,44.542516,10.26,80.7
200000007,2026-03-01 00:00:00+00:00,13.029477,45.276627,13.9,267.8
200000008,2026-03-01 00:00:00+00:00,13.122445,45.807093,15.52,252.9
200000009,2026-03-01 00:00:00+00:00,12.233576,44.021112,12.24,75.4
200000010,2026-03-01 00:00:00+00:00,12.268318,45.180631,9.7,91.8
200000011,2026-03-01 00:00:00+00:00,13.436693,44.172773,14.23,73.2
200000012,2026-03-01 00:00:00+00:00,12.720729,44.872137,12.13,262.7
200000013,2026-03-01 00:00:00+00:00,12.554457,45.368534,12.15,249.9
200000014,2026-03-01 00:00:00+00:00,13.142518,45.334441,11.2,91.7
200000015,2026-03-01 00:00:00+00:00,12.801736,44.376677,15.69,76.5
200000016,2026-03-01 00:00:00+00:00,12.328356,45.359962,10.02,83.4
200000017,2026-03-01 00:00:00+00:00,12.373512,45.646821,11.48,69.2
200000018,2026-03-01 00:00:00+00:00,12.622075,44.483109,8.93,248.0
200000019,2026-03-01 00:00:00+00:00,13.035889,45.728628,13.67,89.4
200000020,2026-03-01 00:00:00+00:00,12.715659,44.269211,12.94,86.7
200000021,2026-03-01 00:00:00+00:00,12.138618,44.710306,13.44,255.6
200000022,2026-03-01 00:00:00+00:00,12.878516,45.162541,15.23,251.1
200000023,2026-03-01 00:00:00+00:00,13.052399,44.864955,15.04,82.3
200000024,2026-03-01 00:00:00+00:00,12.626588,45.466899,12.15,269.7
200000025,2026-03-01 00:00:00+00:00,12.325209,44.047625,10.32,74.3
200000026,2026-03-01 00:00:00+00:00,12.310696,44.628424,14.07,253.9
200000027,2026-03-01 00:00:00+00:00,13.189965,44.172848,11.4,69.9
200000028,2026-03-01 00:00:00+00:00,12.83369,45.058579,13.79,72.5
200000029,2026-03-01 00:00:00+00:00,12.178492,44.956643,15.58,74.8
200000030,2026-03-01 00:00:00+00:00,12.080255,45.211675,11.58,71.3
200000031,2026-03-01 00:00:00+00:00,12.372829,45.951728,12.68,70.2
200000032,2026-03-01 00:00:00+00:00,12.861004,44.624517,10.63,265.1
200000033,2026-03-01 00:00:00+00:00,13.059609,44.731689,11.59,259.8
200000034,2026-03-01 00:00:00+00:00,12.204541,44.229597,11.52,253.9
200000035,2026-03-01 00:00:00+00:00,12.530853,45.658866,10.49,74.9
200000036,2026-03-01 00:00:00+00:00,12.820294,44.270738,10.16,69.2
200000037,2026-03-01 00:00:00+00:00,12.764082,45.694608,15.34,267.4
200000038,2026-03-01 00:00:00+00:00,12.431293,46.003688,20.51,308.1
200000039,2026-03-01 00:00:00+00:00,13.331293,44.903688,20.13,124.0
200000040,2026-03-01 00:00:00+00:00,13.097644,45.62073,9.82,12.7
200000001,2026-03-01 00:02:00+00:00,12.957785,44.044507,9.71,257.6
200000002,2026-03-01 00:02:00+00:00,12.861797,45.808312,14.01,254.6
200000003,2026-03-01 00:02:00+00:00,12.998256,44.7556,12.23,86.9
200000004,2026-03-01 00:02:00+00:00,12.479335,45.970417,9.82,275.7
200000005,2026-03-01 00:02:00+00:00,12.472327,45.930874,14.18,84.0
200000006,2026-03-01 00:02:00+00:00,13.081087,44.548085,9.89,84.3
200000007,2026-03-01 00:02:00+00:00,13.02906,45.268825,13.5,267.1
200000008,2026-03-01 00:02:00+00:00,13.119906,45.79874,15.53,251.3
200000009,2026-03-01 00:02:00+00:00,12.234804,44.027981,12.3,82.9
200000010,2026-03-01 00:02:00+00:00,12.268315,45.186107,9.73,89.9
200000011,2026-03-01 00:02:00+00:00,13.438702,44.180703,14.44,76.4
200000012,2026-03-01 00:02:00+00:00,12.719804,44.865178,12.19,263.4
200000013,2026-03-01 00:02:00+00:00,12.552446,45.361854,12.15,254.7
200000014,2026-03-01 00:02:00+00:00,13.142472,45.340875,11.47,89.0
200000015,2026-03-01 00:02:00+00:00,12.803988,44.385338,15.81,73.2
200000016,2026-03-01 00:02:00+00:00,12.3292,45.365595,9.96,78.3
200000017,2026-03-01 00:02:00+00:00,12.376004,45.652801,11.19,67.2
200000018,2026-03-01 00:02:00+00:00,12.620042,44.478314,9.2,247.5
200000019,2026-03-01 00:02:00+00:00,13.036456,45.736431,13.44,87.8
200000020,2026-03-01 00:02:00+00:00,12.716383,44.27665,13.06,86.3
200000021,2026-03-01 00:02:00+00:00,12.136597,44.702923,13.27,254.1
200000022,2026-03-01 00:02:00+00:00,12.875739,45.154378,15.33,253.4
200000023,2026-03-01 00:02:00+00:00,13.053438,44.873474,15.03,82.3
200000024,2026-03-01 00:02:00+00:00,12.626624,45.459928,12.29,270.1
200000025,2026-03-01 00:02:00+00:00,12.326943,44.053187,10.22,71.8
200000026,2026-03-01 00:02:00+00:00,12.308869,44.620683,14.19,254.8
200000027,2026-03-01 00:02:00+00:00,13.192169,44.178943,11.48,68.9
200000028,2026-03-01 00:02:00+00:00,12.835905,45.066305,14.27,75.2
200000029,2026-03-01 00:02:00+00:00,12.18032,44.96529,15.58,79.2
200000030,2026-03-01 00:02:00+00:00,12.082341,45.217957,11.55,71.9
200000031,2026-03-01 00:02:00+00:00,12.375375,45.958681,12.95,70.1
200000032,2026-03-01 00:02:00+00:00,12.860211,44.618538,10.74,259.5
200000033,2026-03-01 00:02:00+00:00,13.058207,44.725222,11.48,257.1
200000034,2026-03-01 00:02:00+00:00,12.202806,44.223156,11.96,252.2
200000035,2026-03-01 00:02:00+00:00,12.532423,45.664579,10.33,73.6
200000036,2026-03-01 00:02:00+00:00,12.822311,44.276046,10.04,68.8
200000037,2026-03-01 00:02:00+00:00,12.764263,45.685767,15.54,273.4
200000038,2026-03-01 00:02:00+00:00,12.438552,45.994817,20.12,307.0
200000039,2026-03-01 00:02:00+00:00,13.324035,44.912559,20.45,129.5
200000040,2026-03-01 00:02:00+00:00,13.102944,45.622001,10.66,10.8
200000001,2026-03-01 00:04:00+00:00,12.956569,44.038958,10.04,255.3
200000002,2026-03-01 00:04:00+00:00,12.86017,45.800508,13.81,254.8
200000003,2026-03-01 00:04:00+00:00,12.99881,44.762601,12.24,84.7
200000004,2026-03-01 00:04:00+00:00,12.479568,45.96478,9.97,272.7
200000005,2026-03-01 00:04:00+00:00,12.472879,45.938814,13.81,89.2
200000006,2026-03-01 00:04:00+00:00,13.081763,44.553652,9.73,85.6
200000007,2026-03-01 00:04:00+00:00,13.028626,45.261024,13.63,267.3
200000008,2026-03-01 00:04:00+00:00,13.117436,45.790365,15.43,250.4
200000009,2026-03-01 00:04:00+00:00,12.236011,44.034854,12.41,83.0
200000010,2026-03-01 00:04:00+00:00,12.268403,45.191582,9.78,91.3
200000011,2026-03-01 00:04:00+00:00,13.441,44.18855,14.76,76.1
200000012,2026-03-01 00:04:00+00:00,12.718849,44.858223,12.29,265.0
200000013,2026-03-01 00:04:00+00:00,12.550105,45.355288,12.31,246.1
200000014,2026-03-01 00:04:00+00:00,13.142351,45.347307,11.3,91.3
200000015,2026-03-01 00:04:00+00:00,12.806384,44.393959,15.62,77.7
200000016,2026-03-01 00:04:00+00:00,12.330175,45.371205,10.24,80.1
200000017,2026-03-01 00:04:00+00:00,12.378586,45.658742,11.32,69.4
200000018,2026-03-01 00:04:00+00:00,12.618068,44.473492,9.13,245.9
200000019,2026-03-01 00:04:00+00:00,13.037088,45.744228,13.81,88.2
200000020,2026-03-01 00:04:00+00:00,12.717011,44.284099,13.13,83.5
200000021,2026-03-01 00:04:00+00:00,12.134659,44.695516,13.51,254.9
200000022,2026-03-01 00:04:00+00:00,12.873313,45.146097,15.24,254.5
200000023,2026-03-01 00:04:00+00:00,13.054135,44.882031,14.94,80.6
200000024,2026-03-01 00:04:00+00:00,12.626521,45.452957,12.2,266.9
200000025,2026-03-01 00:04:00+00:00,12.328531,44.058794,10.39,73.1
200000026,2026-03-01 00:04:00+00:00,12.307197,44.612906,13.84,258.1
200000027,2026-03-01 00:04:00+00:00,13.194406,44.185026,11.13,71.3
200000028,2026-03-01 00:04:00+00:00,12.837844,45.074109,14.4,75.9
200000029,2026-03-01 00:04:00+00:00,12.181923,44.973985,15.47,80.4
200000030,2026-03-01 00:04:00+00:00,12.084144,45.224331,11.95,74.9
200000031,2026-03-01 00:04:00+00:00,12.377708,45.965712,12.96,66.3
200000032,2026-03-01 00:04:00+00:00,12.859252,44.612584,10.67,261.8
200000033,2026-03-01 00:04:00+00:00,13.05665,44.718792,11.72,256.3
200000034,2026-03-01 00:04:00+00:00,12.200913,44.216762,11.82,255.3
200000035,2026-03-01 00:04:00+00:00,12.534124,45.670253,10.45,75.8
200000036,2026-03-01 00:04:00+00:00,12.82445,44.281304,9.86,67.2
200000037,2026-03-01 00:04:00+00:00,12.763899,45.676933,15.6,267.1
200000038,2026-03-01 00:04:00+00:00,12.44581,45.985946,20.6,311.8
200000039,2026-03-01 00:04:00+00:00,13.316777,44.92143,20.27,128.7
200000040,2026-03-01 00:04:00+00:00,13.10926,45.623516,6.6,12.3
200000001,2026-03-01 00:06:00+00:00,12.955172,44.033454,9.96,256.0
200000002,2026-03-01 00:06:00+00:00,12.858682,45.792675,14.09,261.1
200000003,2026-03-01 00:06:00+00:00,12.999632,44.769575,12.1,86.3
200000004,2026-03-01 00:06:00+00:00,12.479936,45.959151,9.75,272.4
200000005,2026-03-01 00:06:00+00:00,12.473351,45.946758,14.36,87.0
200000006,2026-03-01 00:06:00+00:00,13.082481,44.559213,9.71,84.7
200000007,2026-03-01 00:06:00+00:00,13.028411,45.253213,13.65,268.2
200000008,2026-03-01 00:06:00+00:00,13.114873,45.78202,15.48,256.8
200000009,2026-03-01 00:06:00+00:00,12.237028,44.041759,12.36,83.1
200000010,2026-03-01 00:06:00+00:00,12.26831,45.197057,9.73,86.8
200000011,2026-03-01 00:06:00+00:00,13.44326,44.196409,14.32,77.7
200000012,2026-03-01 00:06:00+00:00,12.717809,44.85128,12.42,261.2
200000013,2026-03-01 00:06:00+00:00,12.54767,45.348757,12.34,249.7
200000014,2026-03-01 00:06:00+00:00,13.142461,45.353739,11.34,86.7
200000015,2026-03-01 00:06:00+00:00,12.808623,44.402624,15.61,77.0
200000016,2026-03-01 00:06:00+00:00,12.331371,45.376771,10.25,77.2
200000017,2026-03-01 00:06:00+00:00,12.380961,45.664773,11.66,73.0
200000018,2026-03-01 00:06:00+00:00,12.615868,44.468775,9.17,244.2
200000019,2026-03-01 00:06:00+00:00,13.037689,45.752028,13.44,83.9
200000020,2026-03-01 00:06:00+00:00,12.717843,44.291526,13.23,83.9
200000021,2026-03-01 00:06:00+00:00,12.132747,44.688102,13.57,253.1
200000022,2026-03-01 00:06:00+00:00,12.871006,45.137782,14.88,254.5
200000023,2026-03-01 00:06:00+00:00,13.054858,44.890585,15.2,86.8
200000024,2026-03-01 00:06:00+00:00,12.626642,45.445987,12.07,275.3
200000025,2026-03-01 00:06:00+00:00,12.330162,44.064389,10.14,71.2
200000026,2026-03-01 00:06:00+00:00,12.30541,44.605155,13.91,255.9
200000027,2026-03-01 00:06:00+00:00,13.196479,44.19117,11.29,70.6
200000028,2026-03-01 00:06:00+00:00,12.839849,45.081894,14.16,79.1
200000029,2026-03-01 00:06:00+00:00,12.183502,44.982684,15.77,81.3
200000030,2026-03-01 00:06:00+00:00,12.085725,45.230765,11.71,74.2
200000031,2026-03-01 00:06:00+00:00,12.380056,45.972737,13.37,72.9
200000032,2026-03-01 00:06:00+00:00,12.858079,44.606671,10.45,260.5
200000033,2026-03-01 00:06:00+00:00,13.054836,44.712434,11.8,254.2
200000034,2026-03-01 00:06:00+00:00,12.199221,44.210309,11.75,255.8
200000035,2026-03-01 00:06:00+00:00,12.535758,45.675947,10.08,72.6
200000036,2026-03-01 00:06:00+00:00,12.826522,44.28659,10.17,69.5
200000037,2026-03-01 00:06:00+00:00,12.763647,45.668094,15.5,268.9
200000038,2026-03-01 00:06:00+00:00,12.453068,45.977075,20.18,309.1
200000039,2026-03-01 00:06:00+00:00,13.309519,44.930301,20.46,130.8
200000040,2026-03-01 00:06:00+00:00,13.110072,45.623711,4.15,18.4
200000001,2026-03-01 00:08:00+00:00,12.953723,44.027964,10.13,255.7
200000002,2026-03-01 00:08:00+00:00,12.85713,45.784854,13.89,256.5
200000003,2026-03-01 00:08:00+00:00,13.000331,44.776562,12.39,83.0
200000004,2026-03-01 00:08:00+00:00,12.480235,45.953517,9.86,269.3
200000005,2026-03-01 00:08:00+00:00,12.473696,45.95471,14.08,89.2
200000006,2026-03-01 00:08:00+00:00,13.08317,44.564779,9.79,81.9
200000007,2026-03-01 00:08:00+00:00,13.027853,45.24542,13.67,263.6
200000008,2026-03-01 00:08:00+00:00,13.112428,45.773638,15.09,251.9
200000009,2026-03-01 00:08:00+00:00,12.238111,44.048654,12.22,79.5
200000010,2026-03-01 00:08:00+00:00,12.268237,45.202532,9.71,91.8
200000011,2026-03-01 00:08:00+00:00,13.445431,44.204294,14.01,72.2
200000012,2026-03-01 00:08:00+00:00,12.716539,44.844378,12.12,259.3
200000013,2026-03-01 00:08:00+00:00,12.545306,45.3422,12.24,246.4
200000014,2026-03-01 00:08:00+00:00,13.142671,45.360168,11.41,86.5
200000015,2026-03-01 00:08:00+00:00,12.810569,44.411363,15.8,78.0
200000016,2026-03-01 00:08:00+00:00,12.332623,45.382324,10.07,77.8
200000017,2026-03-01 00:08:00+00:00,12.383214,45.670852,11.37,68.3
200000018,2026-03-01 00:08:00+00:00,12.613473,44.464158,8.99,242.7
200000019,2026-03-01 00:08:00+00:00,13.038183,45.759836,13.72,89.1
200000020,2026-03-01 00:08:00+00:00,12.718662,44.298955,12.7,82.3
200000021,2026-03-01 00:08:00+00:00,12.13079,44.680701,13.5,257.6
200000022,2026-03-01 00:08:00+00:00,12.868916,45.129406,15.02,255.0
200000023,2026-03-01 00:08:00+00:00,13.055418,44.899153,15.22,84.7
200000024,2026-03-01 00:08:00+00:00,12.626911,45.439021,12.42,274.1
200000025,2026-03-01 00:08:00+00:00,12.332016,44.06991,10.33,67.9
200000026,2026-03-01 00:08:00+00:00,12.303988,44.597326,14.0,255.8
200000027,2026-03-01 00:08:00+00:00,13.198094,44.197457,11.51,74.3
200000028,2026-03-01 00:08:00+00:00,12.842069,45.089619,13.78,75.6
200000029,2026-03-01 00:08:00+00:00,12.185204,44.991359,15.72,76.2
200000030,2026-03-01 00:08:00+00:00,12.087085,45.237253,11.83,81.2
200000031,2026-03-01 00:08:00+00:00,12.382389,45.979768,13.03,68.7
200000032,2026-03-01 00:08:00+00:00,12.856751,44.600793,10.78,255.2
200000033,2026-03-01 00:08:00+00:00,13.053076,44.70606,11.46,254.6
200000034,2026-03-01 00:08:00+00:00,12.197415,44.203889,11.43,252.3
200000035,2026-03-01 00:08:00+00:00,12.537447,45.681625,10.66,72.8
200000036,2026-03-01 00:08:00+00:00,12.828446,44.291935,10.16,67.4
200000037,2026-03-01 00:08:00+00:00,12.763252,45.659261,15.46,268.8
200000038,2026-03-01 00:08:00+00:00,12.460326,45.968204,20.47,310.4
200000039,2026-03-01 00:08:00+00:00,13.302261,44.939172,20.44,132.5
200000040,2026-03-01 00:08:00+00:00,13.113596,45.624555,10.07,46.9
200000001,2026-03-01 00:10:00+00:00,12.952335,44.022458,9.93,257.0
200000002,2026-03-01 00:10:00+00:00,12.855512,45.777048,14.12,259.2
200000003,2026-03-01 00:10:00+00:00,13.001096,44.783543,12.44,82.0
200000004,2026-03-01 00:10:00+00:00,12.480682,45.947894,9.99,273.9
200000005,2026-03-01 00:10:00+00:00,12.473938,45.962666,14.15,89.0
200000006,2026-03-01 00:10:00+00:00,13.08369,44.570363,9.76,84.8
200000007,2026-03-01 00:10:00+00:00,13.027333,45.237624,13.8,267.4
200000008,2026-03-01 00:10:00+00:00,13.110255,45.765177,15.09,254.6
200000009,2026-03-01 00:10:00+00:00,12.239006,44.055577,12.46,83.2
200000010,2026-03-01 00:10:00+00:00,12.268246,45.208008,9.33,90.3
200000011,2026-03-01 00:10:00+00:00,13.447535,44.212198,14.34,74.3
200000012,2026-03-01 00:10:00+00:00,12.715251,44.83748,12.38,260.1
200000013,2026-03-01 00:10:00+00:00,12.542811,45.335694,12.4,247.8
200000014,2026-03-01 00:10:00+00:00,13.142817,45.3666,11.09,88.0
200000015,2026-03-01 00:10:00+00:00,12.812331,44.420143,15.5,82.6
200000016,2026-03-01 00:10:00+00:00,12.334058,45.38783,9.87,71.1
200000017,2026-03-01 00:10:00+00:00,12.385703,45.676835,11.71,67.6
200000018,2026-03-01 00:10:00+00:00,12.611055,44.459554,9.09,240.7
200000019,2026-03-01 00:10:00+00:00,13.038692,45.767643,13.8,87.0
200000020,2026-03-01 00:10:00+00:00,12.719461,44.306386,13.2,81.1
200000021,2026-03-01 00:10:00+00:00,12.128927,44.673274,13.35,254.9
200000022,2026-03-01 00:10:00+00:00,12.866935,45.121002,15.11,254.6
200000023,2026-03-01 00:10:00+00:00,13.056204,44.907701,15.04,82.2
200000024,2026-03-01 00:10:00+00:00,12.627341,45.432064,12.63,272.5
200000025,2026-03-01 00:10:00+00:00,12.334005,44.075382,10.35,67.0
200000026,2026-03-01 00:10:00+00:00,12.302213,44.589573,14.09,256.4
200000027,2026-03-01 00:10:00+00:00,13.199702,44.203745,11.25,75.4
200000028,2026-03-01 00:10:00+00:00,12.844355,45.097323,14.13,71.1
200000029,2026-03-01 00:10:00+00:00,12.186851,45.000045,15.55,79.2
200000030,2026-03-01 00:10:00+00:00,12.088385,45.243753,11.99,77.1
200000031,2026-03-01 00:10:00+00:00,12.384461,45.986884,12.98,73.1
200000032,2026-03-01 00:10:00+00:00,12.855403,44.594919,10.56,256.8
200000033,2026-03-01 00:10:00+00:00,13.051497,44.699636,11.52,252.6
200000034,2026-03-01 00:10:00+00:00,12.195702,44.197442,11.77,253.3
200000035,2026-03-01 00:10:00+00:00,12.539226,45.687274,10.52,75.1
200000036,2026-03-01 00:10:00+00:00,12.830435,44.297254,9.9,69.9
200000037,2026-03-01 00:10:00+00:00,12.763315,45.650419,15.55,270.8
200000038,2026-03-01 00:10:00+00:00,12.467584,45.959333,20.2,308.8
200000039,2026-03-01 00:10:00+00:00,13.295003,44.948043,20.3,131.6
200000040,2026-03-01 00:10:00+00:00,13.117247,45.632482,13.53,65.6
200000001,2026-03-01 00:12:00+00:00,12.950959,44.016949,9.7,258.1
200000002,2026-03-01 00:12:00+00:00,12.853949,45.76923,13.89,259.5
200000003,2026-03-01 00:12:00+00:00,13.001794,44.790531,12.26,85.8
200000004,2026-03-01 00:12:00+00:00,12.481116,45.94227,9.98,274.2
200000005,2026-03-01 00:12:00+00:00,12.474354,45.970614,13.96,86.4
200000006,2026-03-01 00:12:00+00:00,13.084073,44.575959,10.11,85.0
200000007,2026-03-01 00:12:00+00:00,13.026895,45.229823,13.49,267.9
200000008,2026-03-01 00:12:00+00:00,13.10808,45.756717,15.52,257.2
200000009,2026-03-01 00:12:00+00:00,12.239891,44.062502,12.18,83.1
200000010,2026-03-01 00:12:00+00:00,12.268261,45.213483,9.58,91.2
200000011,2026-03-01 00:12:00+00:00,13.449484,44.220145,14.27,76.6
200000012,2026-03-01 00:12:00+00:00,12.714022,44.830571,12.39,259.5
200000013,2026-03-01 00:12:00+00:00,12.540433,45.329142,12.5,249.5
200000014,2026-03-01 00:12:00+00:00,13.143125,45.373025,11.17,85.6
200000015,2026-03-01 00:12:00+00:00,12.813715,44.428994,15.7,81.1
200000016,2026-03-01 00:12:00+00:00,12.335648,45.393291,9.89,74.3
200000017,2026-03-01 00:12:00+00:00,12.388266,45.682784,11.46,68.4
